"Gus Edwards","Robert Griffin III","Ben Roethlisberger","Diontae Johnson","Marquise Brown","Anthony McFarland Jr.","82.6"
"Gus Edwards","Robert Griffin III","Ben Roethlisberger","JuJu Smith-Schuster","Eric Ebron","Chris Boswell","80"
"Benny Snell Jr.","Robert Griffin III","Ben Roethlisberger","JuJu Smith-Schuster","Anthony McFarland Jr.","Justin Tucker","77.3"
"Gus Edwards","Robert Griffin III","Ben Roethlisberger","Chase Claypool","Justin Tucker","Dez Bryant","77.1"
"Benny Snell Jr.","Robert Griffin III","Ben Roethlisberger","Diontae Johnson","Chris Boswell","Justice Hill","75.3"
"Gus Edwards","Robert Griffin III","Benny Snell Jr.","Chase Claypool","Marquise Brown","Eric Ebron","75.2"
"Diontae Johnson","Robert Griffin III","Ben Roethlisberger","Eric Ebron","Justin Tucker","James Washington","73.95"
"Gus Edwards","Robert Griffin III","Diontae Johnson","JuJu Smith-Schuster","Benny Snell Jr.","Ravens ","73.9"
"Gus Edwards","Ben Roethlisberger","Benny Snell Jr.","Chase Claypool","Anthony McFarland Jr.","Chris Boswell","73.4"
"Gus Edwards","Ben Roethlisberger","JuJu Smith-Schuster","Benny Snell Jr.","Marquise Brown","Dez Bryant","73.2"
"Diontae Johnson","Robert Griffin III","JuJu Smith-Schuster","Marquise Brown","Chris Boswell","Justin Tucker","73.15"
"Gus Edwards","Robert Griffin III","JuJu Smith-Schuster","Chase Claypool","Anthony McFarland Jr.","Steelers ","73.1"
"Diontae Johnson","Robert Griffin III","Chase Claypool","Anthony McFarland Jr.","Eric Ebron","Chris Boswell","72.75"
"Diontae Johnson","Ben Roethlisberger","Gus Edwards","JuJu Smith-Schuster","Justin Tucker","Justice Hill","71.75"
"Gus Edwards","Robert Griffin III","Diontae Johnson","Eric Ebron","Dez Bryant","Steelers ","70.8"
"Diontae Johnson","Ben Roethlisberger","JuJu Smith-Schuster","Anthony McFarland Jr.","Chris Boswell","Dez Bryant","70.75"
"Benny Snell Jr.","Robert Griffin III","Ben Roethlisberger","Marquise Brown","Steelers ","Luke Willson","70.7"
"Benny Snell Jr.","Robert Griffin III","Ben Roethlisberger","Chase Claypool","James Washington","Ravens ","69.8"
"Gus Edwards","Ben Roethlisberger","Benny Snell Jr.","Eric Ebron","Justin Tucker","Steelers ","69.4"
"Diontae Johnson","JuJu Smith-Schuster","Benny Snell Jr.","Marquise Brown","Anthony McFarland Jr.","Eric Ebron","68.45"
"Benny Snell Jr.","Robert Griffin III","Chase Claypool","Chris Boswell","Justin Tucker","Steelers ","67.1"
