Name,Projection,Position,Team,Salary,Opponent,Risk,Ownership
Ryan Tannehill,53.562314977993985,QB,TEN,6700,JAC,16.56456916,High
Patrick Mahomes,23.83096140662685,QB,KC,8100,MIA,20.00115335,High
Russell Wilson,15.508011948129091,QB,SEA,7900,NYJ,19.09611537,High
Aaron Rodgers,1.9216934210805903,QB,GB,7500,DET,17.71063869,High
Derrick Henry,34.346118087870664,RB,TEN,8700,JAC,35.5468026,High
Tom Brady,41.61568834053011,QB,TB,6900,MIN,15.75395835,High
Justin Herbert,8.342718083300536,QB,LAC,6800,ATL,15.462594199999998,High
Dalvin Cook,-0.16683643983504481,RB,MIN,9400,TB,31.13865349,Low
Aaron Jones,1.9784455929123386,RB,GB,7600,DET,29.75441133,High
Tyreek Hill,21.68266643349707,WR,KC,8500,MIA,28.99786547,High
Davante Adams,70.3493292788286,WR,GB,9300,DET,28.599588,High
Mike Davis,-21.30845063946806,RB,CAR,6400,DEN,27.52521343,Low
Austin Ekeler,17.466854406202344,RB,LAC,7000,ATL,27.29885979,High
Chris Carson,12.437185965854791,RB,SEA,6900,NYJ,26.90188875,High
DK Metcalf,37.225376596373266,WR,SEA,8400,NYJ,26.11308659,High
Alvin Kamara,-41.89865873027243,RB,NO,7100,PHI,26.02727134,Low
James Robinson,27.677511494338543,RB,JAC,7500,TEN,26.18,High
David Montgomery,13.046127368244806,RB,CHI,6500,HOU,24.99537382,High
Ezekiel Elliott,-9.507328594733597,RB,DAL,6600,CIN,24.72731863,Low
Wayne Gallman Jr.,3.829407705736834,RB,NYG,5700,ARI,24.493870899999997,Very low
Calvin Ridley,-5.928279456435499,WR,ATL,7500,LAC,24.30723752,High
Ronald Jones II,-25.345416565497146,RB,TB,6100,MIN,24.01930808,Low
A.J. Brown,20.451396515017095,WR,TEN,7300,JAC,23.79190854,High
Adam Thielen,9.56367440207345,WR,MIN,7000,TB,23.62161441,Low
Travis Kelce,49.396966873428546,TE,KC,7400,MIA,23.49386798,High
Jonathan Taylor,44.014237273412405,RB,IND,5800,LVR,23.43524016,Low
DeAndre Hopkins,15.965410425478662,WR,ARI,7600,NYG,23.24799058,Low
Keenan Allen,-11.824849018508448,WR,LAC,7700,ATL,23.23805374,High
Justin Jefferson,2.1240052320872778,WR,MIN,7400,TB,22.81919212,Low
Allen Robinson II,12.256159537163763,WR,CHI,6800,HOU,22.07628912,Low
Seahawks ,57.64990337029284,DST,SEA,3000,NYJ,21.7842052,High
Kenyan Drake,-4.14965942259346,RB,ARI,5500,NYG,21.7332835,Very low
Saints ,3.0619940261417398,DST,NO,3800,PHI,21.51912442,High
Brandin Cooks,36.3985504597449,WR,HOU,6100,CHI,21.26427432,High
Robby Anderson,8.011488571161829,WR,CAR,6200,DEN,21.05303239,High
Mike Evans,41.92059118257684,WR,TB,6600,MIN,20.888652399999998,Low
Terry McLaurin,8.578654934522195,WR,WAS,6700,SF,20.5524898,Low
Corey Davis,31.741794599304114,WR,TEN,5700,JAC,20.50784747,High
Chris Godwin,9.790092490786018,WR,TB,6300,MIN,20.35499212,High
Darren Waller,20.708475334968824,TE,LVR,6800,IND,20.13874814,Low
Amari Cooper,18.330725249322253,WR,DAL,6500,CIN,19.15364995,Very low
DeVante Parker,4.90667866553597,WR,MIA,6100,KC,18.54998239,Low
Josh Jacobs,25.64506515791841,RB,LVR,6300,IND,18.7,Low
DJ Chark Jr.,-31.847520977998713,WR,JAC,5300,TEN,18.21944786,Low
Tim Patrick,5.979286917635144,WR,DEN,4200,CAR,17.19566362,Very low
Tyler Lockett,-2.494928513989569,WR,SEA,7200,NYJ,17.0706056,High
Michael Pittman Jr.,-5.1549139054653015,WR,IND,5000,LVR,16.94058677,Very low
Curtis Samuel,15.846357908029574,WR,CAR,5200,DEN,15.99120471,High
T.J. Hockenson,-7.365556458340299,TE,DET,5000,GB,15.86711202,High
Giovani Bernard,8.450876391375758,RB,CIN,5000,DAL,15.82027319,Very low
Rob Gronkowski,18.14679072696847,TE,TB,4800,MIN,15.21324584,Low
Todd Gurley II,20.640433615782932,RB,ATL,4800,LAC,15.149734599999999,Very low
J.D. McKissic,7.034644595505937,RB,WAS,4900,SF,14.06679001,High
Jamison Crowder,0.12977625194529363,WR,NYJ,5400,SEA,13.97686158,Low
Brandon Aiyuk,-15.471692196732338,WR,SF,5400,WAS,13.72497724,Low
Keke Coutee,-3.117408729379979,WR,HOU,5000,CHI,13.61206245,Low
T.Y. Hilton,22.739070284568946,WR,IND,5100,LVR,13.59360924,Low
Tyler Boyd,24.420075125364892,WR,CIN,4900,DAL,13.44426246,Very low
Antonio Brown,15.266428386798289,WR,TB,5500,MIN,4.0,High
Breshad Perriman,19.49063499723556,WR,NYJ,3900,SEA,12.68700486,Low
Colts ,9.795645231671365,DST,IND,3200,LVR,12.4195636,Very low
Tee Higgins,9.543173758590688,WR,CIN,4800,DAL,12.40326021,Very low
Buccaneers ,22.066144856432246,DST,TB,2900,MIN,11.96116899,Very low
WAS Football Team ,13.726801409645901,DST,WAS,2800,SF,11.77627205,Low
Chiefs ,9.47595909814672,DST,KC,3500,MIA,11.65984401,Very low
Cowboys ,23.23926149756068,DST,DAL,2400,CIN,11.50620185,High
Texans ,-11.129345644464422,DST,HOU,2600,CHI,11.47775347,Low
Evan Engram,3.3920943455273096,TE,NYG,4300,ARI,11.39873596,Very low
Eagles ,16.33610607671008,DST,PHI,2200,NO,11.29987558,Low
Panthers ,5.485577479185579,DST,CAR,2900,DEN,11.19210492,Very low
Cardinals ,11.355703511834022,DST,ARI,2700,NYG,11.0,Low
Titans ,9.321981786634097,DST,TEN,3100,JAC,11.0,Very low
Bears ,3.2845642585890378,DST,CHI,3000,HOU,11.0,Very low
Giants ,1.3270615269967045,DST,NYG,2600,ARI,11.0,Very low
Michael Gallup,-30.160869563316343,WR,DAL,3800,CIN,11.0,Low
49ers ,-15.93002947455965,DST,SF,2700,WAS,11.0,Low
Mike Gesicki,2.427049434037176,TE,MIA,4500,KC,11.0,Low
Bengals ,0.13096777414751593,DST,CIN,2300,DAL,11.0,Low
Logan Thomas,11.014013307239868,TE,WAS,3300,SF,11.0,Low
Broncos ,-12.898479621994223,DST,DEN,2500,CAR,11.0,Very low
Russell Gage,29.821161132061018,WR,ATL,4500,LAC,11.0,Very low
DeAndre Washington,9.303001191505077,RB,MIA,4000,KC,11.0,High
