
"Aaron Rodgers","Alvin Kamara","J.D. McKissic","Davante Adams","DJ Chark Jr.","Michael Gallup","T.J. Hockenson","DeAndre Washington","Seahawks ","265.9668470851545"
"Russell Wilson","Derrick Henry","Giovani Bernard","Robby Anderson","Tyler Lockett","Breshad Perriman","Logan Thomas","DeAndre Washington","Saints ","204.31775488756253"
"Justin Herbert","James Robinson","J.D. McKissic","Keenan Allen","Robby Anderson","Corey Davis","Mike Gesicki","Russell Gage","Eagles ","185.1038010203198"
"Ryan Tannehill","Aaron Jones","Chris Carson","Corey Davis","DJ Chark Jr.","Curtis Samuel","Rob Gronkowski","Brandon Aiyuk","Cowboys ","165.09545798250008"
"Tom Brady","Austin Ekeler","Todd Gurley II","Adam Thielen","Corey Davis","Tim Patrick","T.J. Hockenson","Antonio Brown","Saints ","107.8115639241594"
"Tom Brady","David Montgomery","J.D. McKissic","A.J. Brown","Justin Jefferson","Chris Godwin","Evan Engram","Breshad Perriman","Cowboys ","57.94624899232449"
"Tom Brady","Chris Carson","Josh Jacobs","Adam Thielen","Corey Davis","Tim Patrick","T.J. Hockenson","Antonio Brown","Cowboys ","281.2396514466418"
"Patrick Mahomes","James Robinson","J.D. McKissic","Tyreek Hill","Michael Pittman Jr.","Curtis Samuel","Mike Gesicki","Breshad Perriman","Cowboys ","235.8259070302462"
"Ryan Tannehill","Chris Carson","David Montgomery","A.J. Brown","Chris Godwin","DJ Chark Jr.","Logan Thomas","Michael Gallup","Saints ","194.27778837112038"
"Justin Herbert","David Montgomery","DeAndre Washington","Tyreek Hill","Keenan Allen","Tim Patrick","Rob Gronkowski","Russell Gage","Seahawks ","160.87381789521908"
"Russell Wilson","Derrick Henry","DeAndre Washington","Chris Godwin","Tyler Lockett","Breshad Perriman","T.J. Hockenson","Tee Higgins","Eagles ","125.27463421493772"
"Aaron Rodgers","Todd Gurley II","J.D. McKissic","Davante Adams","Robby Anderson","Brandon Aiyuk","T.J. Hockenson","Michael Gallup","Seahawks ","57.58053442787336"
