,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,
Kyler Murray,Jamaal Williams,Giovani Bernard,Tyler Lockett,A.J. Brown,Keenan Allen,Darren Waller,Christian Kirk,Chiefs ,109.2545984,41.1,21.4,20.6,56,30.3,25.5,17,20.7,24,256.6,,,,,,,,,Alvin Kamara,22.8
Kyler Murray,Alvin Kamara,Kareem Hunt,Terry McLaurin,Tyler Lockett,Cole Beasley,Dan Arnold,Jamaal Williams,Chiefs ,112.0165235,41.1,22.8,19.2,22,56,25.2,7.7,21.4,24,239.4,,,,,,,,,Jamaal Williams,21.4
Kyler Murray,Kareem Hunt,Jamaal Williams,Tyler Lockett,Robby Anderson,Tee Higgins,T.J. Hockenson,Christian Kirk,Chiefs ,113.2157943,41.1,19.2,21.4,56,13.4,18.8,16.9,20.7,24,231.5,,,,,,,,,Kareem Hunt,19.2
Russell Wilson,Jamaal Williams,Giovani Bernard,DeAndre Hopkins,Tyler Lockett,Cole Beasley,Taysom Hill,David Johnson,Chiefs ,107.8068181,35.92,21.4,20.6,28.3,56,25.2,0.6,17.4,24,229.42,,,,,,,,,WAS Football Team ,17
Kyler Murray,Derrick Henry,Kareem Hunt,Tyler Lockett,Christian Kirk,Diontae Johnson,Taysom Hill,Giovani Bernard,Chiefs ,115.2176353,41.1,15.2,19.2,56,20.7,29,0.6,20.6,24,226.4,,,,,,,,,Davante Adams,47.6
Kyler Murray,Derrick Henry,Jamaal Williams,Stefon Diggs,Tyler Lockett,Chris Godwin,Dan Arnold,Giovani Bernard,Chiefs ,109.1181792,41.1,15.2,21.4,10.8,56,23.8,7.7,20.6,24,220.6,,,,,,,,,Terry McLaurin,22
Kyler Murray,Derrick Henry,Jamaal Williams,Terry McLaurin,Tyler Lockett,Brandin Cooks,Hunter Henry,Christian Kirk,Chiefs ,113.4045279,41.1,15.2,21.4,22,56,13,5.3,20.7,24,218.7,,,,,,,,,Giovani Bernard,20.6
Russell Wilson,Kareem Hunt,Mike Davis,Tyler Lockett,Christian Kirk,Scotty Miller,Hunter Henry,Giovani Bernard,Chiefs ,115.3468408,35.92,19.2,8.6,56,20.7,25.9,5.3,20.6,24,216.22,,,,,,,,,Keenan Allen,25.5
Kyler Murray,Mike Davis,Jamaal Williams,DeAndre Hopkins,Tyler Lockett,DJ Chark Jr.,T.J. Hockenson,Diontae Johnson,Browns ,109.6613782,41.1,8.6,21.4,28.3,56,3.6,16.9,29,7,211.9,,,,,,,,,Travis Kelce,6.1
Kyler Murray,Kareem Hunt,Jamaal Williams,DeAndre Hopkins,Tyler Lockett,Tim Patrick,Jared Cook,Giovani Bernard,Patriots ,106.074497,41.1,19.2,21.4,28.3,56,7.4,12.2,20.6,4,210.2,,,,,,,,,Kyler Murray,41.1
Kyler Murray,Alvin Kamara,Jamaal Williams,Kenny Golladay,Tyler Lockett,Christian Kirk,Jonnu Smith,David Johnson,Browns ,111.3149839,41.1,22.8,21.4,20.4,56,20.7,1.9,17.4,7,208.7,,,,,,,,,Hunter Henry,5.3
Kyler Murray,Kareem Hunt,Jamaal Williams,Kenny Golladay,Tyler Lockett,Robby Anderson,Dan Arnold,Melvin Gordon III,Bills ,111.5634405,41.1,19.2,21.4,20.4,56,13.4,7.7,14,14,207.2,,,,,,,,,Kenny Golladay,20.4
Kyler Murray,Jamaal Williams,David Johnson,DeAndre Hopkins,Terry McLaurin,Tyler Lockett,Taysom Hill,Robby Anderson,Browns ,109.3351013,41.1,21.4,17.4,28.3,22,56,0.6,13.4,7,207.2,,,,,,,,,Stefon Diggs,10.8
Kyler Murray,Alvin Kamara,Jamaal Williams,Tyler Lockett,A.J. Brown,Christian Kirk,Hunter Henry,Julian Edelman,Buccaneers ,113.88548,41.1,22.8,21.4,56,30.3,20.7,5.3,2.3,6,205.9,,,,,,,,,Tyler Lockett,56
Russell Wilson,Jamaal Williams,Giovani Bernard,DeAndre Hopkins,Tyler Lockett,Tre'Quan Smith,Hunter Henry,Melvin Gordon III,Bills ,112.3671822,35.92,21.4,20.6,28.3,56,9.4,5.3,14,14,204.92,,,,,,,,,Browns ,7
Russell Wilson,Kareem Hunt,Jamaal Williams,Kenny Golladay,Tyler Lockett,Chase Claypool,Dan Arnold,David Johnson,Chiefs ,108.6811721,35.92,19.2,21.4,20.4,56,0.8,7.7,17.4,24,202.82,,,,,,,,,DK Metcalf,4.3
Russell Wilson,Alvin Kamara,Jamaal Williams,Tyler Lockett,Christian Kirk,Tim Patrick,Jonnu Smith,Giovani Bernard,Bills ,110.9797091,35.92,22.8,21.4,56,20.7,7.4,1.9,20.6,14,200.72,,,,,,,,,Tre'Quan Smith,9.4
Russell Wilson,Clyde Edwards-Helaire,Jamaal Williams,Terry McLaurin,Tyler Lockett,A.J. Brown,Dan Arnold,Jerick McKinnon,Bills ,107.8949982,35.92,13.3,21.4,22,56,30.3,7.7,-0.1,14,200.52,,,,,,,,,Julio Jones,17.7
Russell Wilson,Derrick Henry,Jamaal Williams,Tyler Lockett,Chase Claypool,Tre'Quan Smith,T.J. Hockenson,Christian Kirk,Chiefs ,114.4111552,35.92,15.2,21.4,56,0.8,9.4,16.9,20.7,24,200.32,,,,,,,,,Mike Davis,8.6
Kyler Murray,Kareem Hunt,Jamaal Williams,DeAndre Hopkins,Kenny Golladay,Deebo Samuel,Greg Olsen,Diontae Johnson,Chiefs ,111.8204513,41.1,19.2,21.4,28.3,20.4,12.2,3.8,29,24,199.4,,,,,,,,,DeAndre Hopkins,28.3
Kyler Murray,Kareem Hunt,Josh Jacobs,Will Fuller V,Tyler Lockett,Deebo Samuel,Dan Arnold,Giovani Bernard,Chiefs ,109.0060846,41.1,19.2,6.1,12.5,56,12.2,7.7,20.6,24,199.4,,,,,,,,,Robby Anderson,13.4
Kyler Murray,Kareem Hunt,Giovani Bernard,Will Fuller V,Tyler Lockett,Tre'Quan Smith,Hunter Henry,Christian Kirk,Bills ,106.7030235,41.1,19.2,20.6,12.5,56,9.4,5.3,20.7,14,198.8,,,,,,,,,Brandin Cooks,13
Kyler Murray,Derrick Henry,Jamaal Williams,Tyreek Hill,Tyler Lockett,Tee Higgins,Taysom Hill,Larry Fitzgerald,Bills ,106.7832714,41.1,15.2,21.4,17.5,56,18.8,0.6,14.2,14,198.8,,,,,,,,,Calvin Ridley,19.9
