Name,Projection,Position,Team,Salary,Opponent,Risk,Ownership
Seahawks ,18.177201896324018,DST,SEA,3000,NYJ,21.7842052,High
Saints ,3.371502721684891,DST,NO,3800,PHI,21.51912442,High
Colts ,-2.900280368799679,DST,IND,3200,LVR,12.4195636,Very low
Buccaneers ,12.650248715251458,DST,TB,2900,MIN,11.96116899,Very low
WAS Football Team ,-5.952301093620401,DST,WAS,2800,SF,11.77627205,Low
Chiefs ,5.15865669546257,DST,KC,3500,MIA,11.65984401,Very low
Cowboys ,8.654504763272326,DST,DAL,2400,CIN,11.50620185,High
Texans ,0.35552964494065087,DST,HOU,2600,CHI,11.47775347,Low
Eagles ,13.983041749826565,DST,PHI,2200,NO,11.29987558,Low
Panthers ,7.941437697469977,DST,CAR,2900,DEN,11.19210492,Very low
Cardinals ,1.5263636685492425,DST,ARI,2700,NYG,11.0,Low
Titans ,7.347663445021359,DST,TEN,3100,JAC,11.0,Very low
Bears ,2.443644353304831,DST,CHI,3000,HOU,11.0,Very low
Giants ,8.890726431198535,DST,NYG,2600,ARI,11.0,Very low
49ers ,0.9396810713791117,DST,SF,2700,WAS,11.0,Low
Bengals ,-3.3417218024878554,DST,CIN,2300,DAL,11.0,Low
Broncos ,18.50076456643887,DST,DEN,2500,CAR,11.0,Very low
Ryan Tannehill,-5.436640927512338,QB,TEN,6700,JAC,16.56456916,High
Patrick Mahomes,-36.89821068132561,QB,KC,8100,MIA,20.00115335,High
Russell Wilson,-62.32121909819837,QB,SEA,7900,NYJ,19.09611537,High
Aaron Rodgers,-26.42009921055633,QB,GB,7500,DET,17.71063869,High
Tom Brady,-9.303289102958434,QB,TB,6900,MIN,15.75395835,High
Justin Herbert,-14.286557659538715,QB,LAC,6800,ATL,15.462594199999998,High
Mitchell Trubisky,-9.680290087473399,QB,CHI,5600,HOU,15.0,High
Tua Tagovailoa,10.781266738755061,QB,MIA,5400,KC,11.145783,High
Derek Carr,5.322198476634295,QB,LVR,6000,IND,13.25692852,High
Drew Lock,-1.0584615222886828,QB,DEN,5100,CAR,10.47192681,High
Derrick Henry,66.15333751351682,RB,TEN,8700,JAC,35.5468026,High
Dalvin Cook,5.9263403380960575,RB,MIN,9400,TB,31.13865349,Low
Aaron Jones,0.2815545870428249,RB,GB,7600,DET,29.75441133,High
Mike Davis,27.766210183296696,RB,CAR,6400,DEN,27.52521343,Low
Austin Ekeler,7.530784613566907,RB,LAC,7000,ATL,27.29885979,High
Chris Carson,-18.990532543041695,RB,SEA,6900,NYJ,26.90188875,High
Alvin Kamara,-11.103173036297953,RB,NO,7100,PHI,26.02727134,Low
James Robinson,-8.170667197970548,RB,JAC,7500,TEN,26.18,High
David Montgomery,0.01861117659005629,RB,CHI,6500,HOU,24.99537382,High
Ezekiel Elliott,11.841257084238894,RB,DAL,6600,CIN,24.72731863,Low
Wayne Gallman Jr.,18.890800616134975,RB,NYG,5700,ARI,24.493870899999997,Very low
Ronald Jones II,12.379986375476484,RB,TB,6100,MIN,24.01930808,Low
Jonathan Taylor,10.794747477442307,RB,IND,5800,LVR,23.43524016,Low
Kenyan Drake,37.49878457113184,RB,ARI,5500,NYG,21.7332835,Very low
Josh Jacobs,54.05572563891984,RB,LVR,6300,IND,18.7,Low
Giovani Bernard,41.524022010632926,RB,CIN,5000,DAL,15.82027319,Very low
Todd Gurley II,21.621263979221453,RB,ATL,4800,LAC,15.149734599999999,Very low
