
"Drew Lock","Derrick Henry","Austin Ekeler","Terry McLaurin","Curtis Samuel","KJ Hamler","T.J. Hockenson","Chris Carson","Cowboys ","298.6"
"Drew Lock","Derrick Henry","David Montgomery","Brandin Cooks","Robby Anderson","Tim Patrick","Mike Gesicki","Wayne Gallman Jr.","Seahawks ","247.0"
"Patrick Mahomes","Austin Ekeler","David Montgomery","Corey Davis","Tim Patrick","Curtis Samuel","Travis Kelce","Mack Hollins","WAS Football Team ","292.0"
"Drew Lock","Derrick Henry","Chris Carson","Mike Evans","Tim Patrick","Curtis Samuel","Evan Engram","David Montgomery","Cowboys ","313.8"
"Drew Lock","Dalvin Cook","J.D. McKissic","Robby Anderson","Tyler Lockett","Brandon Aiyuk","T.J. Hockenson","KJ Hamler","Saints ","316.6"
"Drew Lock","Derrick Henry","Austin Ekeler","Adam Thielen","Curtis Samuel","T.Y. Hilton","T.J. Hockenson","KJ Hamler","Saints ","345.8"
"Drew Lock","Derrick Henry","Wayne Gallman Jr.","Brandin Cooks","Tim Patrick","Curtis Samuel","T.J. Hockenson","Ronald Jones II","Saints ","264.4"
"Tua Tagovailoa","Mike Davis","David Montgomery","DeAndre Hopkins","Corey Davis","Mack Hollins","Travis Kelce","J.D. McKissic","Seahawks ","294.9"
"Ryan Tannehill","Aaron Jones","Jonathan Taylor","A.J. Brown","Robby Anderson","Keelan Cole Sr.","Rob Gronkowski","DeAndre Washington","Saints ","242.4"
"Drew Lock","Aaron Jones","Todd Gurley II","Tyreek Hill","Robby Anderson","Corey Davis","Rob Gronkowski","Tim Patrick","Seahawks ","398.6"
"Drew Lock","Derrick Henry","Dalvin Cook","Robby Anderson","DJ Chark Jr.","KJ Hamler","T.J. Hockenson","J.D. McKissic","Cowboys ","356.8"
"Ryan Tannehill","Jonathan Taylor","DeAndre Washington","A.J. Brown","Chris Godwin","Curtis Samuel","Darren Waller","Laviska Shenault Jr.","Saints ","250.8"
"Aaron Rodgers","Wayne Gallman Jr.","DeAndre Washington","Davante Adams","Keenan Allen","Corey Davis","Jimmy Graham","Danny Amendola","Seahawks ","304.1"
"Drew Lock","Ronald Jones II","J.D. McKissic","Calvin Ridley","Brandin Cooks","Robby Anderson","Darren Waller","Tim Patrick","Seahawks ","286.8"
"Ryan Tannehill","Aaron Jones","Austin Ekeler","Corey Davis","DJ Chark Jr.","Antonio Brown","Irv Smith Jr.","Melvin Gordon III","Saints ","208.5"
"Drew Lock","Dalvin Cook","Chris Carson","Michael Pittman Jr.","Curtis Samuel","KJ Hamler","T.J. Hockenson","David Montgomery","Saints ","317.2"
"Drew Lock","Aaron Jones","Chris Carson","Robby Anderson","DJ Chark Jr.","Tim Patrick","Darren Waller","DeAndre Washington","Saints ","326.6"
"Tua Tagovailoa","Wayne Gallman Jr.","Ronald Jones II","Tyreek Hill","Tyler Lockett","Curtis Samuel","Mike Gesicki","J.D. McKissic","Cowboys ","293.5"
"Drew Lock","Aaron Jones","David Montgomery","Chris Godwin","Curtis Samuel","KJ Hamler","Darren Waller","Wayne Gallman Jr.","Saints ","323.7"
"Patrick Mahomes","Derrick Henry","Aaron Jones","Robby Anderson","Mecole Hardman","Mack Hollins","T.J. Hockenson","Jonathan Taylor","Cowboys ","282.5"
"Mitchell Trubisky","Aaron Jones","Mike Davis","DK Metcalf","Corey Davis","Keke Coutee","T.J. Hockenson","Darnell Mooney","Saints ","265.8"
"Drew Lock","Derrick Henry","Aaron Jones","Robby Anderson","DJ Chark Jr.","KJ Hamler","T.J. Hockenson","Ronald Jones II","Seahawks ","378.1"
"Drew Lock","Austin Ekeler","Alvin Kamara","Calvin Ridley","Chris Godwin","Tim Patrick","Mike Gesicki","Curtis Samuel","Seahawks ","295.0"
"Drew Lock","Derrick Henry","Aaron Jones","DeAndre Hopkins","Robby Anderson","Tim Patrick","T.J. Hockenson","Darnell Mooney","Seahawks ","296.4"
"Drew Lock","Aaron Jones","Ronald Jones II","Calvin Ridley","Robby Anderson","DJ Chark Jr.","T.J. Hockenson","Tim Patrick","Seahawks ","284.3"
"Drew Lock","Chris Carson","David Montgomery","Keenan Allen","Tim Patrick","Curtis Samuel","T.J. Hockenson","Kenyan Drake","Saints ","378.0"
"Drew Lock","Austin Ekeler","James Robinson","Brandin Cooks","Robby Anderson","Tim Patrick","Robert Tonyan","Jonathan Taylor","Saints ","265.2"
"Drew Lock","Austin Ekeler","David Montgomery","Davante Adams","DJ Chark Jr.","Tim Patrick","Dan Arnold","Curtis Samuel","Saints ","337.3"
"Drew Lock","Derrick Henry","Chris Carson","Keenan Allen","Tim Patrick","Curtis Samuel","Logan Thomas","Giovani Bernard","Saints ","253.9"
"Drew Lock","Austin Ekeler","J.D. McKissic","Davante Adams","Robby Anderson","Tyler Boyd","Travis Kelce","KJ Hamler","Eagles ","353.9"
"Drew Lock","Ronald Jones II","Jonathan Taylor","Keenan Allen","Brandin Cooks","Tim Patrick","Travis Kelce","Curtis Samuel","Cowboys ","279.0"
"Ryan Tannehill","Austin Ekeler","Jonathan Taylor","DK Metcalf","Brandin Cooks","Corey Davis","Robert Tonyan","Keelan Cole Sr.","Cowboys ","307.3"
"Drew Lock","James Robinson","DeAndre Washington","Tyreek Hill","DK Metcalf","Tim Patrick","Evan Engram","Curtis Samuel","WAS Football Team ","293.1"
"Drew Lock","Chris Carson","Jonathan Taylor","DeAndre Hopkins","Tim Patrick","Curtis Samuel","Travis Kelce","DeAndre Washington","Saints ","263.4"
"Drew Lock","Chris Carson","David Montgomery","DeAndre Hopkins","Tim Patrick","Curtis Samuel","T.J. Hockenson","Wayne Gallman Jr.","Saints ","301.5"
"Patrick Mahomes","Chris Carson","Wayne Gallman Jr.","Tyreek Hill","Brandin Cooks","Mack Hollins","Jimmy Graham","J.D. McKissic","Saints ","296.7"
"Drew Lock","Chris Carson","Alvin Kamara","A.J. Brown","Keenan Allen","Robby Anderson","Robert Tonyan","KJ Hamler","Cowboys ","294.6"
"Drew Lock","James Robinson","David Montgomery","A.J. Brown","Robby Anderson","KJ Hamler","Evan Engram","Josh Jacobs","Saints ","216.9"
"Drew Lock","David Montgomery","Ronald Jones II","A.J. Brown","Robby Anderson","Tim Patrick","T.J. Hockenson","Jonathan Taylor","Saints ","328.9"
"Ryan Tannehill","Austin Ekeler","David Montgomery","Justin Jefferson","Corey Davis","Keelan Cole Sr.","T.J. Hockenson","Kenyan Drake","Cowboys ","280.7"
"Drew Lock","Aaron Jones","James Robinson","Keenan Allen","Tim Patrick","Curtis Samuel","Jimmy Graham","Ezekiel Elliott","Seahawks ","378.3"
"Drew Lock","Aaron Jones","David Montgomery","Calvin Ridley","Robby Anderson","Tim Patrick","Jared Cook","Ronald Jones II","Seahawks ","279.1"
"Drew Lock","Aaron Jones","DeAndre Washington","Tyreek Hill","Calvin Ridley","Robby Anderson","Jimmy Graham","Tim Patrick","Saints ","280.7"
"Drew Lock","Derrick Henry","Chris Carson","Robby Anderson","Russell Gage","KJ Hamler","Robert Tonyan","James Robinson","Saints ","284.4"
"Drew Lock","Chris Carson","David Montgomery","Brandin Cooks","Mike Evans","Curtis Samuel","Travis Kelce","KJ Hamler","Titans ","261.3"
"Mitchell Trubisky","Austin Ekeler","Wayne Gallman Jr.","Allen Robinson II","Brandin Cooks","Emmanuel Sanders","Travis Kelce","DeAndre Washington","Seahawks ","236.8"
"Drew Lock","Derrick Henry","James Robinson","Calvin Ridley","Curtis Samuel","KJ Hamler","Logan Thomas","Jonathan Taylor","Saints ","299.7"
"Drew Lock","Derrick Henry","Austin Ekeler","DJ Chark Jr.","Tim Patrick","Curtis Samuel","Travis Kelce","Nelson Agholor","Cowboys ","261.3"
"Ryan Tannehill","Mike Davis","DeAndre Washington","Calvin Ridley","Corey Davis","Keelan Cole Sr.","Travis Kelce","Miles Sanders","Cowboys ","241.0"
"Ryan Tannehill","Aaron Jones","DeAndre Washington","Keenan Allen","Justin Jefferson","Corey Davis","Jimmy Graham","Laviska Shenault Jr.","Saints ","288.1"
"Drew Lock","David Montgomery","Jonathan Taylor","Davante Adams","Brandin Cooks","Tim Patrick","Rob Gronkowski","Curtis Samuel","Seahawks ","259.0"
"Drew Lock","Chris Carson","David Montgomery","Brandin Cooks","Tim Patrick","Curtis Samuel","Darren Waller","Jamison Crowder","Saints ","257.8"
"Drew Lock","Derrick Henry","Aaron Jones","Robby Anderson","Antonio Brown","KJ Hamler","Jared Cook","Austin Ekeler","Bears ","267.7"
"Drew Lock","Austin Ekeler","DeAndre Washington","DK Metcalf","Robby Anderson","Tim Patrick","Travis Kelce","Nelson Agholor","Bears ","310.6"
"Aaron Rodgers","Derrick Henry","Austin Ekeler","Tyreek Hill","Darnell Mooney","Marquez Valdes-Scantling","T.J. Hockenson","Mack Hollins","Saints ","324.1"
"Drew Lock","Derrick Henry","James Robinson","Tim Patrick","Curtis Samuel","A.J. Green","Darren Waller","David Montgomery","Seahawks ","371.0"
"Drew Lock","Derrick Henry","J.D. McKissic","Adam Thielen","Brandin Cooks","Curtis Samuel","Travis Kelce","KJ Hamler","Giants ","275.8"
"Tua Tagovailoa","David Montgomery","Jonathan Taylor","A.J. Brown","Keenan Allen","Tyler Lockett","Mike Gesicki","Mecole Hardman","Cowboys ","260.4"
"Ryan Tannehill","Mike Davis","J.D. McKissic","Davante Adams","A.J. Brown","DJ Chark Jr.","Irv Smith Jr.","DeAndre Washington","Seahawks ","308.5"
"Drew Lock","Austin Ekeler","Chris Carson","Tyreek Hill","Curtis Samuel","Keke Coutee","Darren Waller","KJ Hamler","Cowboys ","253.4"
"Drew Lock","James Robinson","Kenyan Drake","Brandin Cooks","Robby Anderson","Tim Patrick","Darren Waller","Antonio Brown","Seahawks ","255.0"
"Drew Lock","James Robinson","Ezekiel Elliott","Davante Adams","Corey Davis","Tim Patrick","Logan Thomas","Curtis Samuel","Seahawks ","285.2"
"Drew Lock","Aaron Jones","Chris Carson","Robby Anderson","KJ Hamler","Laviska Shenault Jr.","Travis Kelce","Jonathan Taylor","Saints ","330.0"
"Tua Tagovailoa","Derrick Henry","Aaron Jones","Tyreek Hill","Chris Godwin","Tim Patrick","Logan Thomas","Mack Hollins","Seahawks ","288.5"
"Drew Lock","James Robinson","Jonathan Taylor","Calvin Ridley","Robby Anderson","Corey Davis","T.J. Hockenson","Tim Patrick","Seahawks ","297.8"
"Drew Lock","Derrick Henry","James Robinson","Tim Patrick","Michael Pittman Jr.","Curtis Samuel","Travis Kelce","A.J. Green","Saints ","298.0"
"Drew Lock","Ronald Jones II","J.D. McKissic","Davante Adams","Calvin Ridley","Tim Patrick","T.J. Hockenson","Curtis Samuel","Cardinals ","262.8"
"Drew Lock","Chris Carson","Wayne Gallman Jr.","A.J. Brown","Robby Anderson","Tim Patrick","T.J. Hockenson","Jonathan Taylor","Saints ","285.2"
"Mitchell Trubisky","Chris Carson","Alvin Kamara","Calvin Ridley","Brandin Cooks","Robby Anderson","Jimmy Graham","Melvin Gordon III","Cowboys ","231.8"
"Tua Tagovailoa","Aaron Jones","David Montgomery","Tyreek Hill","Corey Davis","Nelson Agholor","Mike Gesicki","Laviska Shenault Jr.","Seahawks ","300.9"
"Drew Lock","James Robinson","Josh Jacobs","Calvin Ridley","Keenan Allen","Curtis Samuel","T.J. Hockenson","KJ Hamler","Texans ","300.6"
"Tom Brady","Aaron Jones","Wayne Gallman Jr.","A.J. Brown","Robby Anderson","Chris Godwin","Irv Smith Jr.","KJ Hamler","Saints ","271.2"
"Justin Herbert","James Robinson","DeAndre Washington","Calvin Ridley","A.J. Brown","Keenan Allen","Irv Smith Jr.","Mecole Hardman","Panthers ","271.5"
"Tua Tagovailoa","Austin Ekeler","Chris Carson","Corey Davis","Tyler Boyd","Mack Hollins","Travis Kelce","Jonathan Taylor","Saints ","326.5"
